region;num_dia;dia;valor;valordelta;n;mu;sigma;modelo;modelodelta;densidad;modelo*n;R2ajuste;R2error;R2errorA;R2errorB;pvalor;qnorm0.99;qnorm0.999;diapeak;deltapeak
MD;1;1;0;0;333000;92;26.1;0.000245;0.000245;0.000035;81;-inf;0.000000000;0.000000000;0.000000000;0.000000000;153;173;66;4518
MD;2;2;70;70;333000;92;26.1;0.000282;0.000037;0.000040;94;-1.941986595;1.000000000;-5.252869670;5.252869670;0.000000000;153;173;66;4518
MD;3;3;137;67;333000;92;26.1;0.000325;0.000043;0.000046;108;0.143559308;0.610685269;-1.188200836;2.204368045;0.428946978;153;173;66;4518
MD;4;4;159;22;333000;92;26.1;0.000374;0.000049;0.000052;124;0.402684048;0.023500370;1.990796278;0.296969776;0.846701696;153;173;66;4518
MD;5;5;169;10;333000;92;26.1;0.000429;0.000055;0.000059;143;0.510633163;0.038691494;3.177774965;-0.296519567;0.751176367;153;173;66;4518
MD;6;6;217;48;333000;92;26.1;0.000492;0.000063;0.000067;164;0.580179591;0.027606827;2.927839812;-0.189404502;0.753063946;153;173;66;4518
MD;7;7;296;79;333000;92;26.1;0.000564;0.000071;0.000076;188;0.557499746;0.000865709;2.494435748;-0.026877978;0.950071708;153;173;66;4518
MD;8;8;335;39;333000;92;26.1;0.000645;0.000081;0.000086;215;0.543506228;0.018519399;2.724264007;-0.103487397;0.747971536;153;173;66;4518
MD;9;9;393;58;333000;92;26.1;0.000736;0.000092;0.000097;245;0.526387606;0.026363616;2.725043767;-0.103721325;0.676406144;153;173;66;4518
MD;10;10;457;64;333000;92;26.1;0.000840;0.000103;0.000110;280;0.511971143;0.033686767;2.712757179;-0.100370438;0.611761050;153;173;66;4518
MD;11;11;475;18;333000;92;26.1;0.000956;0.000117;0.000124;318;0.526600030;0.094866864;2.925880425;-0.153651249;0.356810355;153;173;66;4518
