		mu		sigma_left	sigma_right		n
02/08/2020	40	68	40	23,2	0	40	53000
16/08/2020	54	84	54	24,6	0	54	220000
28/08/2020	66	99	66	27,4	0	66	485000
02/09/2020	71	92	71	26,1	0	71	333000
05/09/2020	74	89	74	25,3	0	74	292000
12/09/2020	81	89	81	25,3	0	81	286000
16/09/2020	85	83	85	23,9	16,4	85	221000
16/10/2020	115	83	115	23,9	21	115	225000
22/10/2020	121	83	121	23,9	22,8	121	234000
23/10/2020	122	86	122	24,5	29,2	122	254000
31/10/2020	130	86	130	24,5	28,8	130	258000
10/11/2020	140	87	140	24,8	33,7	140	271000
20/11/2020	150	88	150	25,2	39,4	150	287000
08/12/2020	168	90	168	26,2	46,9	168	303000
